datetime;ipsrc;ipdst;proto;dstport;policyid;action;in;
2021-03-09 03:39:56;192.168.1.20;192.168.1.10;TCP;22;12;Permit;IN;
2021-03-09 03:39:56;192.168.1.20;192.168.1.10;TCP;22;12;Permit;IN;
2021-03-09 03:39:56;192.168.1.20;192.168.1.10;TCP;22;12;Permit;IN;
2021-03-09 03:39:56;192.168.1.20;192.168.1.10;TCP;22;12;Permit;IN;
2021-03-09 03:39:56;192.168.1.20;192.168.1.10;TCP;22;12;Permit;IN;
2021-03-09 03:41:04;192.168.1.20;192.168.1.10;TCP;22;12;Permit;IN;
2021-03-09 03:41:04;192.168.1.20;192.168.1.10;TCP;22;12;Permit;IN;
2021-03-09 03:41:04;192.168.1.20;192.168.1.10;TCP;22;12;Permit;IN;
2021-03-09 03:41:04;192.168.1.20;192.168.1.10;TCP;22;12;Permit;IN;
2021-03-09 03:41:04;192.168.1.20;192.168.1.10;TCP;22;12;Permit;IN;
2021-03-09 03:41:27;192.168.1.20;192.168.1.10;TCP;22;12;Permit;IN;
2021-03-09 03:41:27;192.168.1.20;192.168.1.10;TCP;22;12;Permit;IN;
2021-03-09 03:41:27;192.168.1.20;192.168.1.10;TCP;22;12;Permit;IN;
2021-03-09 03:41:27;192.168.1.20;192.168.1.10;TCP;22;12;Permit;IN;
2021-03-09 03:41:27;192.168.1.20;192.168.1.10;TCP;22;12;Permit;IN;
2021-03-09 03:41:58;192.168.1.20;192.168.1.10;TCP;80;4;Permit;IN;
2021-03-09 03:41:58;192.168.1.20;192.168.1.10;TCP;80;4;Permit;IN;
2021-03-09 03:41:58;192.168.1.20;192.168.1.10;TCP;80;4;Permit;IN;
2021-03-09 03:41:58;192.168.1.20;192.168.1.10;TCP;80;4;Permit;IN;
2021-03-09 03:41:58;192.168.1.20;192.168.1.10;TCP;80;4;Permit;IN;
2021-03-09 03:41:58;192.168.1.20;192.168.1.10;TCP;443;8;Permit;IN;
2021-03-09 03:41:58;192.168.1.20;192.168.1.10;TCP;443;8;Permit;IN;
2021-03-09 03:41:58;192.168.1.20;192.168.1.10;TCP;443;8;Permit;IN;
2021-03-09 03:41:58;192.168.1.20;192.168.1.10;TCP;443;8;Permit;IN;
2021-03-09 03:41:58;192.168.1.20;192.168.1.10;TCP;443;8;Permit;IN;
2021-03-09 03:41:58;192.168.1.20;192.168.1.10;TCP;23;2;Permit;IN;
2021-03-09 03:41:58;192.168.1.20;192.168.1.10;TCP;23;2;Permit;IN;
2021-03-09 03:41:58;192.168.1.20;192.168.1.10;TCP;23;2;Permit;IN;
2021-03-09 03:41:58;192.168.1.20;192.168.1.10;TCP;23;2;Permit;IN;
2021-03-09 03:41:58;192.168.1.20;192.168.1.10;TCP;20;3;Permit;IN;
2021-03-09 03:41:58;192.168.1.20;192.168.1.10;TCP;23;2;Permit;IN;
2021-03-09 03:42:56;192.168.1.20;192.168.1.10;TCP;22;12;Permit;IN;
2021-03-09 03:42:56;192.168.1.20;192.168.1.10;TCP;22;12;Permit;IN;
2021-03-09 03:42:56;192.168.1.20;192.168.1.10;TCP;22;12;Permit;IN;
2021-03-09 03:42:56;192.168.1.20;192.168.1.10;TCP;22;12;Permit;IN;
2021-03-09 03:42:56;192.168.1.20;192.168.1.10;TCP;22;12;Permit;IN;
2021-03-09 03:42:56;192.168.1.20;192.168.1.10;TCP;80;4;Permit;IN;
2021-03-09 03:42:56;192.168.1.20;192.168.1.10;TCP;80;4;Permit;IN;
2021-03-09 03:42:56;192.168.1.20;192.168.1.10;TCP;80;4;Permit;IN;
2021-03-09 03:42:56;192.168.1.20;192.168.1.10;TCP;80;4;Permit;IN;
2021-03-09 03:42:56;192.168.1.20;192.168.1.10;TCP;80;4;Permit;IN;
